Fund,Expense ratio,Tracking Error,AUM,1yr Annualized Return,2yr Annualized Return,3yr Annualized Return,5yr Annualized Return
Navi Nifty Midcap 150 Index Fund,0.21,0.25,194,42.07,34.3,33.41,
Motilal Oswal Nifty Midcap 150,0.3,0.06,"1,866.01",43,35,26,31
HDFC Nifty Midcap 150,0.3,0.09,223.37,42,,,
Nippon India Nifty Midcap 150,0.3,0.08,"1,585.14",42,34,26,
SBI Nifty Midcap 150,0.41,0.05,626.67,42,,,
ICICI Prudential Nifty Midcap 150,0.3,0.08,557.25,42,34,,
Aditya Birla Sun Life Nifty Midcap 150,0.44,0.31,273.49,43,35,26,
